word,sentiment,p,n,a,exist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
తడి,a,0,0,1,1,కొట్టునది,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
తప్ప,n,0,1,0,1,"బీజము లేనిది,నిస్సారము",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
తరబడి,a,0,0,1,1,"సదృశము,సాటి",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
తల,a,0,0,1,1,"మొదటివాడు,ముఖ్యుడు",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
తల్లి,a,0,0,1,1,"మొదటిది,పైది,పెద్దది",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
తాళి,a,0,0,1,1,"తాళము కలవాడు,తాళము వాయించువాడు",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
తిన్న,a,0,0,1,1,"మనోజ్ఞము,ఇంపైనది,యుక్తము,స్వస్థము,నిశ్చలము",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
తిరు,a,0,0,1,1,"శ్రీపదము,శుభకరము,పవిత్రము",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
తెలివి,a,0,0,1,1,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
తేలిక,a,0,0,1,1,"లఘువు,భారములేనిది,రోగభారములేనిది,ఆరోగ్యవంతము,నీచము,అల్పము",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
తోడు,p,1,0,0,1,సహాయముగా,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
త్రి,a,0,0,1,1,మూడు,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
దర్శకుడు,a,0,0,1,1,"చూచువాడు,పరిశీలించువాడు,చూపువాడు,నేర్పరి,నిపుణుడు",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
దాత,p,1,0,0,1,"దానశీలుడు,ఇచ్చువాడు,ఖండించువాడు,త్రుంచువాడు,శుద్ధిచేయువాడు",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
దారి,a,0,0,1,1,"ధరించువాడు,చీల్చువాడు,బ్రద్దలు కొట్టువాడు",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
దుర్యోధనుడు,a,0,0,1,1,యుద్ధముచేయ శఖ్యముకానివాడు,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
దొంగ,a,0,0,1,1,"వంచకము,మోసపుచ్చునది",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
దొర,a,0,0,1,1,"సమానుడు,సాటియైనవాడు",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ధీరుడు,p,1,0,0,1,"ధైర్యముకలవాడు,జంకనివాడు,నిలుకడకలవాడు,చలింపనివాడు,దృఢచిత్తముకలవాడు",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
నంది,a,0,0,1,1,"ఆనందించువాడు,ఆనందింపజేయువాడు",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
నడి,a,0,0,1,1,నడతృణము అధికముగాకలది,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
నమిత,a,0,0,1,1,"వంచువాడు,నమస్కరింపజేయువాడు",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
నాగ,a,0,0,1,1,పూజ్యము,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
నాటి,a,0,0,1,1,"నటించువాడు,నర్తనము చేయువాడు",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
నాయకుడు,a,0,0,1,1,"ప్రాపకుడు,పొందించువాడు,నడపువాడు,ప్రదాన్యుడు,ముఖ్యుడు",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
నాస్తికుడు,a,0,0,1,1,పరలోకములేదు అనునమ్మకముకలవాడు,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
నిపుణుడు,a,0,0,1,1,"ప్రవీణుడు,నేర్పరి",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
నిర్మాత,a,0,0,1,1,నిర్మించువాడు,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
నివేదిత,a,0,0,1,1,నివేదించువాడు,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
మంచి,p,1,0,0,1,యోగ్యము,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
మంచివాడు,p,1,0,0,1,సజ్జనుడు,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
మంత్రి,a,0,0,1,1,"బుద్ధిమంతుడు,తెలివిగలవాడు 2.వేదములు బాగుగా దెలిసినవాడు",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
మనసు,a,0,0,1,1,ఇష్టము,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
మహాబలుడు,p,1,0,0,1,చాలబలము గలవాడు,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
మాలి,a,0,0,1,1,తోటకాచువాడు 2.పూలదండలు కూర్చువాడు,వర్తకుడు 3.పూలదండలు చుట్టుకొనినవాడు,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
మించు,p,1,0,0,1,"తళతళ కాంతిగలది 2.అధికము,గొప్పది",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
మిక్కిలి,a,0,0,1,1,"అధికముగా,ఎక్కువగా",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
మిగత,a,0,0,1,1,"మిగిలినది,శేషించినది 2.అధికము",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ముడి,a,0,0,1,1,"ముదిసినది, మునలిది 2.వికసింపనది ౩.పొట్టుపోనిది 4.అసంస్కృతము 5.అంచు,కమ్ములు లేనిది",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
మెట్టు,p,1,0,0,1,"ఉన్నతమైనది, ఎత్తైనది",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
మెల్ల,a,0,0,1,1,"మందముగా,త్వరపడక","బిగ్గరకాకుండ,ఉచ్చ్తెర్ధ్వని లేకుండ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
మెల్ల,a,0,0,1,1,"మందముగా,త్వరపడక","బిగ్గరకాకుండ,ఉచ్చ్తెర్ధ్వని లేకుండ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
మేటి,a,0,0,1,1,గొప్పవాడు,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
మేధావి,p,1,0,0,1,"చాలబుద్దిమంతుడు, మంచిజ్ఞాపకశక్తి గలవాడు 2.తెలివిగలవాడు,బుద్ధిమంతుడు",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
మేలు,p,1,0,0,1,సంపూర్ణముగా,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
మొదలు,a,0,0,1,1,"ప్రథమము, తొలుతటిది",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
మౌని,a,0,0,1,1,మౌరజికుడు,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ముక్క,a,0,0,1,1,సారహీనమైనది,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
యముడు,n,0,1,0,1,"కవలలో నొకడు, ఒక మాఱు ఒకగర్భమున బుట్టిన వారిలో నొకడు",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
యువ,a,0,0,1,1,"ప్రాయపువాడు, పడుచుదనముగలవాడు 2.బలవంతుడు, ఆరోగ్యవంతుడు ౩.శ్రేష్ఠుడు, మంచివాడు",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
యోగి,a,0,0,1,1,"అన్వితుడైనవాడు, కలిగియున్నవాడు 2.యోగమభ్యసించువాడు, యోగాభ్యాసము కలవాడు",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
రక్షిత,a,0,0,1,1,రక్షకుడు,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
రాజు,p,1,0,0,1,"తనజాతియందు శ్రేష్ఠుడు, ప్రధానుడు",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
రెట్టింపు,a,0,0,1,1,ద్విగుణితము,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
రోత,n,0,1,0,1,"ఏవగలిగించునది,జుగుప్సావహము",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
లేని,n,0,1,0,1,ఉండనిది,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
లేపి,a,0,0,1,1,"పూయునది,రాచునది",కప్పునది,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
లోటు,n,0,1,0,1,"తక్కువ, న్యూనము",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
లోపు,a,0,0,1,1,"స్వీయము, తనది",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
వంటి,a,0,0,1,1,సదృశము,భోటి,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
వట్టి,a,0,0,1,1,"రిక్తము, శూన్యము, ఏమియు లేనిది",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
వద్దు,n,0,1,0,1,"మొద్దు, లావు, స్థూలము",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
వమ్ము,a,0,0,1,1,వ్యర్థము,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
వల,a,0,0,1,1,"కుడి, అపసవ్యము",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
వాల్మీకి,a,0,0,1,1,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
వికలాంగుడు,n,0,1,0,1,వికలమైన యవయవములు గలవాడు,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
విహారి,a,0,0,1,1,"విహరించునది,వినోదించునది 2.వ్యాపించునది ౩.మిక్కిలి చక్కనిది",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
వీరుడు,p,1,0,0,1,వీరరన ప్రధానుడగు నాయకుడు 2.ధైర్యము గలవాడు ౩.శౌర్యము గలవాడు 4.శ్రేష్ఠుడు 5.కులాచార సంపన్నుడు,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
వెగటు,n,0,1,0,1,అనిష్టము,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
వెలితి,n,0,1,0,1,"తక్కువైనది,న్యూనము 2.పూర్ణము కానిది,నిండనిది",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
వెలుపల,a,0,0,1,1,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
వ్యాధి,n,0,1,0,1,"గ్రుచ్చుకొనునది,గాయపరుచునది",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
వ్యాపారి,a,0,0,1,1,"వ్యాపారముచేయువాడు,వర్తకుడు,అభ్యసించువాడు",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
శూరుడు,p,1,0,0,1,"ధైర్యముగలవాడు, పరాక్రమము గలవాడు",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
సరి,p,1,0,0,1,"సమము, సాటియైనది",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
సాక్షి,a,0,0,1,1,"చూచునది, గమనించునది, ఋజువు చేయునది, నిరూపించునది, నిర్ధారించునది",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
సాటి,a,0,0,1,1,సమానము,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
సాధువు,a,0,0,1,1,"మంచిది, శ్రేష్ఠమైనది, తగినది,ఒప్పయినది, గుణవంతమైనది, పవిత్రమైనది, శుద్ధమైనది, దయగలది, శాంతమైనది, ఆహ్లాదకరమైనది, సుందరమైనది, ఉదారమైనది, ఉదాత్తమైనది, ఉత్తమవంశమున బుట్టినది, సమర్థమైనది",,,,,,,శుద్ధమైనది,దయగలది,శాంతమైనది,ఆహ్లాదకరమైనది,సుందరమైనది,ఉదారమైనది,ఉదాత్తమైనది,ఉత్తమవంశమున బుట్టినది,సమర్థమైనది,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
సాము,a,0,0,1,1,సగము,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
సారి,a,0,0,1,1,"నడచునది, సారము గలది",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
సూరి,a,0,0,1,1,"తెలివిగలది, విద్వత్తు గలది",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
స్థాయి,a,0,0,1,1,"కదలనిది, స్థిరమైనది, నివసించునది, మారనిది",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
హారము,a,0,0,1,1,హరసంబంధియైనది,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
అచ్చు,p,1,0,0,1,"శుద్ధము,దోషములేనిది",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
అడ్డు,n,0,1,0,1,అడ్డము,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
అన్ను,a,0,0,1,1,"అన్నుకొను,మత్తిల్లు,పరవశమగు",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
అమ్ము,a,0,0,1,1,అమ్మబడు,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
అరువు,n,0,1,0,1,"ఇనుము,లొంగు,అడగు 2.దక్కు",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
అల్లు,a,0,0,1,1,"అల్లుకొను,పెనగొను",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ఆడు,p,1,0,0,1,"చలించు,కదలు 2.(అవయవాదులు స్వకార్యమందు)ప్రవర్తించు 3.సంచరించు,తిరుగు","విహరించు 4.మునుగు,స్నానముచేయు 5.క్రీడించు 6.నర్తించు 7.కాడు,గ్రుచ్చుకొను",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ఆరు,a,0,0,1,1,"కలుగు,జనించు 2.ఒప్పు 3.అతిశఇల్లు 4.నిండు,పూర్ణమగు",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ఆరు,a,0,0,1,1,"కలుగు,జనించు 2.ఒప్పు 3.అతిశఇల్లు 4.నిండు,పూర్ణమగు",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ఇందు,a,0,0,1,1,భక్షితద్రవ్యములు లోపల ఇముడు,"అణగియుండు 2.రుచించు,ఇష్టమగు",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ఈడు,a,0,0,1,1,"చాగు,ముందునకు బోవు 2.వెనుకబడు",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ఊరు,a,0,0,1,1,"లోపలనుండి(ద్రవము)పైకివచ్చు 2.నాను 3.తడిగలదియగు,ద్రవించు 4.ఆసక్తి గలదియగు,ఆసగొను 5.పుట్టు,కలుగు 6.పెరుగు,పెద్దదియగు",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ఎత్తు,p,1,0,0,1,"కలుగు 2.(పోరుటకు)పూను,కడగు 3.దండెత్తు,పోరుటకై బయలుదేరు 4.అతిశయించు",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
