క్రియ,అర్థం,Root word,To Know : 3,To Move : 4,To Do : 5 ,To Have : 6,To Be : 7,To Cut : 8 ,To Bound : 9,,
అగులు,"అగలు,పగులు",,1,2,,,,,,మనస్పూర్తిగా ఏది అనుకున్న అది అగుతుంది,
అగ్గలించు,"అతిశయించు,ఎక్కువగు,వ్యాపించు,విజ్రుంభించు 2.ఉత్సహించు,పూను",,,2,,,,,1,అతని కీర్తి అంతటా అగ్గలించింది,ఆమెకు పిచ్చి అగ్గలించింది
అ(చ)చ్చలించు,ఆగ్రహించు,,,,1,1,,,1,రమ తన పిల్లల్ని ఎప్పుడు అచ్చలిస్తుంది,
అచ్చరుపడు,"విస్మయమందు,ఆశ్చర్యపడు",,1,,,,2,,,ఆ వింతను చూసి అచ్చరుపడ్డాను,ఆమె ప్రతి విషయానికి అచ్చరుపడుతుంది
అచ్చివచ్చు,"అనుకూలమగు,క్షేమకారియగు",,2,,,1,,,,ఆమె పలుకులు అచ్చివస్తాయి,పరిస్థితులు  పంటలకు అచ్చివచ్చేలా వున్నాయి
అచ్చు,"అప్పుపడు,ఋణపడు 2.పూచిపడు,పూటవడు",,,1,,,2,,,ఆమె అతనికి అచ్చు పడింది,ఆమె మంచితనానికి అందరు ఆమెకు అచ్చుపడి ఉంటారు
అచ్చుకొను,పూచిపడు,,,,1,,,,,నేను తన అప్పుకి అచ్చుకొన్నాను,
అచ్చుపడు,"స్పష్టమగు,తెల్లమగు,బయలుపడు 2.అబ్బు,అలవడు,సిద్ధించు 3.తగియుండు,ఉచితమగు,సార్థకమగు 4.ఏర్పడు 5.ముద్రితమగు",,,2,,,,,1,కాలిపై చెప్పు అచ్చుపడింది,రద్దయిన నోట్లు తిరిగి అచ్చుపడ్డాయి
అచ్చెరువ(ప)డు -అచ్చెరువుపడు,ఆశ్చర్యపడు,,1,,,,2,,,ఆ వింతను చూసి అచ్చెరువుపడ్డాను,ఆమె ప్రతి విషయానికి అచ్చెరువుపడుతుంది
ఆటమటించు,బాధపడు,,,1,2,,,,,గిట్టుబాటు ధరలు లేక  రైతన్నఆకలితో  అటమటిస్తున్నాడు,సీత కష్టాన్ని తెలుసుకొని రాముడు అటమటించాడు
అటుండు,అలాగున నుండు,,,,,,1,2,,ఎవరికి వారేలా అటుండిపోయారు,విడిపోవాలని అటుండి పోతున్నారు
అట్టకట్టు,అట్టగా ఏర్పడు,,,,,,,,1,సరిగా పోషణ లేకుంటే జుట్టు అట్టకట్టుతుంది,
అట్టిట్టగు,"కలతనొందు,క్షుబ్దమగు",,,,,,1,,2,వర్షాభావం వల్ల రైతు అట్టిట్టయ్యాడు,వాళ్ళ అమ్మ మరణంతో తను అట్టిట్టయింది
అట్టిట్టు(టు)పడు,"వ్యత్యస్తమగు,తారుమారగు 2.క్షోభపడు,కలగు",,,1,,,,2,,అతని అంచనాలు అట్టిట్టుపడ్డాయి,అతని ఎన్నికల ఫలితాలు అట్టిట్టుపడ్డాయి
అడగారు,"ఉపశమిల్లు,అడగు",,,1,,,2,,,ఆమె మాటలతో ఎంతో అడగారతారు,బావిలో నీరు అడగారాయి
అడగు-అణగు ,"దిగబడు,క్రుంగు 2.నమ్రమగు,లొంగు,లోబడు 3.ఇముడు;అంతర్గతమగు 4.దాగు,మరుగుపడు 5.నిరుద్ధమగు 6.అంతర్ధానమగు,మాయమగు,అదృశ్యమగు 7.నశించు;చెడు",,,,1,,,,2,అతను బురదలో అడగిడాడు,భర్త మాటలకు అణగి వుంటుంది
అడగొను,"అట్టకట్టు,ముద్ద కట్టు",,,,,,1,,1,సిగ్గుతో అడగొని పోయింది,
అడపడు,సంశయపడు,,,,,2,,1,,అతని ప్రవర్తన అడపడేలా వుంది,ఆమె ప్రతిదానికి అడపడుతుంది
అడరు,"ప్రజ్వలించు 2.అతిశయించు 3.ప్రసరించు,వ్యాపించు,పర్వు 4.కడగు,పూను;సిద్ధపడు 5.(యుద్ధమున)కవియు 6.తిరుగు;సంచరించు 7.కలుగు,పుట్టు 8.ఒప్పు,శోభిల్లు 9.కలగు,క్షోభపడు ",,1,,,,2,,,సూర్యుని వెలుగు లోకమంతా అడరుతుంది,చీకట్లో candle తో వెలుగు అడరుతుంది
అడరుదెంచు,అడరు (అతిశయించు),,1,,,,2,,,సూర్యుని వెలుగు లోకమంతా అడరుతుంది,చీకట్లో candle తో వెలుగు అడరుతుంది
అడరుపడు,విజ్రుంభించు,,1,,2,,,,,వర్షాకాలం దోమలు అడరుపడతాయి,నా రక్షణకై నేను అడరుపడతాను
అడలిపోవు,"అడలు,భయపడు",,,,,2,1,,,ఆ దెయ్యం సినిమా చూసి అడలిపోయాను,చీకట్లో ఉండాలంటే నేను అడలిపోతాను
అడలు,"శోకించు,మనసున గుందు 2.రోదనము చేయు,ఏడ్చు,విలపించు 3.భయపడు,బెదరు 4.చలించు,అదురు 5.కాంతిహీనమగు",,,,,1,2,,,చీకట్లో ఉండాలంటే నేను అడలిపోతాను,నానమ్మ మరణ వార్త విని అడలిపోయాను
అడచిపడు,"త్వరపడు,తొందరపడు 2.ఎగిరిపడు,మిట్టిపడు, మిడిసిపడు 3.కోపపడు",,,2,,,,,1,మధ్యలో వచ్చిన సంపాదన చూసి ఆమె అడచి పడుతుంది,సముద్రపు కెరటాలు అడచి పడుతున్నాయి
అడుగంటు,అడుగునకుపోవు;క్షీణించు,,,1,,,,2,,ఇంట్లో సరుకులు అడుగంటాయి,summer లో బోర్ నీళ్ళు అడుగంటుతాయి
అడుగుదప్పు,అడుగుమాత్రము తప్పు,,1,,,,,,,టీనేజ్ లో అడుగు దప్పకూడదు,
అడుగుదీయు,"అడుగు కదలచు,అడుగు ఎత్తు 2.వెనుదీయు",,2,,1,,,,,సమర రంగానికి అడుగు దీసారు,ఒకసారి అడుగు పెట్టాక  వెనుకకు అడుగుదీయ కూడదు
అడుగు(వ)పట్టు,"అడుగునుపొందు,క్రిందికిబోవు 2.క్షీణించు 3.కాళ్లుబట్టుకొను;నమ్రమగు",,,1,,,2,,,పొదుపుగా ఉండకపోతే ఏదైనా అడుగుపట్టుతుంది,జబ్బు చేసాక అతని ఆరోగ్యం అడుగు పట్టింది
అడుగుప(వ)డు,"క్రిందికి బోవు,అడుగంటు",,,2,1,,,,,అన్నం వండుట రాక అడుగుపడింది,ఎక్కువమంది వచ్చేవరకు items త్వరగా అడుగుపడ్డాయి
అడుగుపె(వె)ట్టు-అడుగిడు,"పాదముపెట్టు;నడుచు 2.ప్రవేశించు,చొచ్చు 3.కదలు",,,,1,,2,,,కొత్త కోడలు ఆ ఇంట్లో అడుగుపెట్టింది,ఆమె రాకతో ఆ ఇంట్లో లక్ష్మిదేవి అడుగు పెట్టినట్టయింది
అడుగుమాలిపోవు,మొదలంటనశించు,,,1,,,,2,,ఆమె రాకతో ఆ ఇల్లు అడుగుమాలి పోయింది,వర్షాభావం తో పంటలు అడుగుమాలాయి 
అడ్డుపడు," నిరోధకమగు,అడ్డమువచ్చు 2.నిరోధకముగాబడు 3.అడ్డుగావచ్చు",,,,1,,,,2,మంత్రి కాన్వాయ్ కి జనాలు అడ్డుపడ్డారు,వారి ప్రవర్తన అభివృద్ధికి అడ్డుపడేలా వుంది
అడ్డు,"ఆగు,నిలిచిపోవు",,,1,,,,2,,accident వల్ల వాహనాలు నిలిచిపోయాయి,సాక్ష్యం చెప్పకుండా అడ్డుకున్నారు
అడ్డుకొను,"ఆగిపోవు,నిలుచు",,,2,1,,,,,సాక్ష్యం చెప్పకుండా అడ్డుకొన్నారు,accident వల్లరోడ్డుమీద వాహనాలు అడ్డుకొన్నాయి
అతుకు-అదుకు,"అంటుకొను,కూడు,అత్తు",,1,2,,,,,,ఫెవిక్విక్ బాగా అతుకుతుంది,అప్పుడే వేసిన పెయింట్ అతుకుతుంది
అత్తమిల్లు(లు),"ఒరగు,వ్రాలు 2.అంటియుండు,ఉండు 3.శయనించు,పరుండు 4.మూర్చపోవు",,,1,2,,,,,వర్షాల వల్ల పెద్దచెట్లు కూడా అత్తమిల్లాయి,పాముని చూసి అత్తమిల్లాను
అత్తు-హత్తు,"కలియు 2.తగులువడు,అనుకూలమగు 3.అంటుకొను",,,1,,,,,2,సిలిండర్ పేలడం వల్ల బిల్డింగ్ కి నిప్పు అత్తుకుంది,అజాగ్రత్త వల్ల గూడెంఅంత మంట అత్తుకుంది
అదరిపడు,"మిట్టిపడు,ఎగిరిపడు 2.ఉలిక్కిపడు,అకస్మాత్తుగా భయకంపితుడగు",,,,1,,,,,పిడుగుపాటు ధ్వనికి అదరిపడ్డాను,
అదలు,కదలు;తొలగు,,,,,,1,1,,కష్టాలు అదలి పోయాయి,అపార్ధాలన్నీ అదలి పోయాయి
అదవదపడు,"విచారపడు,కలతనొందు,వ్యాకులమగు",,,2,,1,2,,,ఎవరికి అన్యాయం జరిగినా తను అదవద పడుతుంది,జరిగిన అన్యాయం తెలిసుకొని అదవదపడ్డాను
అదవెట్టు,"మెఱపెట్టు,ఆక్రోశించు",,,,1,,,,,ఆకలితో వారు అదవెట్టుకున్నారు,నొప్పి భరించలేక ఆమె అదవెట్టింది
అదిరిపడు,ఉలికిపడు,,,,1,,,,,పిడుగుపాటు ధ్వనికి అదిరిపడ్డాను,
అదుకుకొను,అదుకు,,1,2,,,,,,ఫెవిక్విక్ బాగా అదుకు కొంటుంది,అప్పుడే వేసిన పెయింట్ అదుకుతుంది
అదురుచు(ర్చు)-అద్రుచు,"చలించు,వడకు",,,,1,,,,,ఆమె స్థితి చూసి అదురుచాను,
అధిక్షేపించు,"దోషమారోపించు,నేరముమోపు",,1,,2,,,,,parents ను అధిక్షేపించ కూడదు,servent తీసి ఉంటుందని తనని అధిక్షేపించాను
అధిగమించు,"ప్రవర్తించు 2.చొచ్చు,ప్రవేశించు",,,,1,,,,,మూడవ ఆటగాన్ని పదవ ఆటగాడు అధిగమించాడు,
అనగిపెనగు,"కలియు,కూడికొను",,2,,,1,,,,వారిద్దరూ ఎప్పుడు అనగిపెనగి ఉంటారు,పాలు నీళ్ళ లా అనగిపెనగి వుండాలి
అనలుగొనలుబారు,"ననుచు,వర్ధిల్లు,చిగుర్చు",,,1,,,,,,వర్షాకాలం చెట్లన్నీఅనలుగొనలు బారాయి,
అనుగలించు,"ప్రియపడు,ఇష్టపడు",,,,,1,,,,వారిద్దరూ ఒకరినొకరు చాలా అనుగలించు కుంటారు,
అనుమానపడు,"అనుమానమునొందు,అనుకొను,ఊహచేయు",,,,,1,,,,ఆమె ప్రతి విషయానికి అనుమాన పడుతుంది,
అనువు,"పొందపడు,అనుకూలమగు",,,,2,2,,,1,అక్కడి పరిస్థితులు జీవించడానికి అనువు గా వుంటాయి,తన ప్రవర్తన అందరికి అనువు గా ఉంటుంది
అనువొప్పు,ఒప్పు,,,,,1,,,,తను ఏది చేసినా అనుఒప్పుతుంది,
అన్ను,"అన్నుకొను,మత్తిల్లు,పరవశమగు",,,,2,,1,,,పని ఒత్తిడి వల్ల ప్రాణం అన్ను పట్టింది,
అన్నుకొను,"మత్తిల్లు,పారవశ్యమునొందు",,,,2,,1,,,పని ఒత్తిడి వల్ల ప్రాణం అన్నుకొన్నది,మత్తు వాసన చూసి అన్నుకొన్నాను
అపోహపడు,"భ్రమపడు,భ్రాంతినొందు",,,,,1,,,2,ఆమె అన్ని విషయాల్లో అపోహపడుతుంది,ఆమె ప్రవర్తన అపోహ పడేలా వుంది
అప్పలించు,ఉత్సహించు ; తమకించు,,,,1,,1,,,ఆ news విని నేనెంతో అప్పలించాను,
అబ్బగించు,"తాళు,సహించు,ఓర్చు",,,,,1,,,,ఎంత బాధ అయినా తను అబ్బగించుతుంది,
అబ్బాలాడు,"తడబడు,సంభ్రమించు",,,,,2,,,1,భయం తో తన మాటలు అబ్బలాడాయి,ఏ స్థితి లో అయినా నిబ్బరం గా అబ్బాలాడకుండా వుంటుంది
అబ్బు,"దొరకు,లభించు 2.సిద్ధించు 3.వశమగు,చిక్కు",,,,,1,,,2,వాడికి విద్యాబుద్ధులు బాగా అబ్బాయి,వాడికి తాగుడు అబ్బింది
అబ్బురపడు,ఆశ్చర్యపడు,,,,,,2,,1,ఆ చిన్నారి ప్రదర్శన అందరిని అబ్బురపరచింది,
అమయు,ఉపయుక్తమగు,,1,,,,2,,,అనుభవజ్ఞుల సలహాలు అమయుతాయి,వర్షాకాలం లో గొడుగు అమయుతుంది
అమరు,"ఒప్పు 2.కలుగు 3.లభించు,అబ్బు 4.సిద్ధించు,నెరవేరు 5.సిద్ధమగు 6.సరిపడు,తగు 7.కుదురు,అనుకూలమగు 8.ఏర్పడు,పొసగు",,,,,1,,,, తల్లిదండ్రుల నుండి వారికి అన్నీ అమరాయి,
అమ్ము,అమ్మబడు,,,,1,2,,,,అవసరానికి ఇళ్ళు అమ్మాడు,తను ప్లాట్స్ అమ్ముతాడు
అమ్ముడగు,"అమ్మబడు,విక్రీతమగు",,,,,,,1,,మంచి రేటుకు ఇల్లు అమ్ముడయింది,
అమ్ముడుపడు,"అమ్ముదగు 2.(అమ్మబడినట్లు)అధీనమగు,వశమగు",,,,,,,1,,ఆ car అమ్ముడుపడింది,
అమ్ముడుపోవు,"విక్రయమగు,అమ్ముడగు 2.(అమ్మబడినట్లు)అధీనమగు,వశమగు",,,,,,,,1,ఆ car అమ్ముడుపోయింది,
అయిపోవు-ఐపోవు,సమగ్రముగా అగు,,,,,,,,1,నా సెలవులు అయిపోయాయి,
అయివచ్చు-ఐవచ్చు,అచ్చివచ్చు,,1,,,,1,,,ఈ season రైతుకు అయివచ్చే అంశం,
అయ్యజియ్యలువెట్టు,అయ్య!జియ్య!అను,,,,1,,,,,కష్టపడ లేక అయ్యజియ్యలు అన్నాడు,
అరగలిగొను,"అరవాయిగొను,వెనుదీయు;జంకు,సందేహించు",,,1,,2,,,,ఇంకా ముందుకు పోలేక అరగలిగొన్నాడు,ఏ పని చెయ్యాలన్నా ముందు అరగలిగొంటాడు
అరగొను,"వెనుదీయు,సందేహించు",,,,1,,,,2,ముందుకు పోయే దారి లేక అరగొన్నాడు,తనమీద నమ్మకం లేక అరగొన్నాడు
అరలు,"వ్యాపించు,ప్రాకు",,,2,,,,,1,మర్రిచెట్టు ఓడలు అంతటా అరలాయి,దోస తీగ నేల అంతటా అరలింది
అరవరయగు,"క్రోధాదులచే క్షుభ్దుడగు,కలతనొందు",,,,1,,,2,,తనమాట వినలేదని అరవరయ అయ్యాడు,సకాలంలో పని కానందుకు అరవరయయ్యింది
అరవాయిగొను,"వెనుదీయు,జంకు 2.శంకనొందు,సందేహించు",,,1,,2,,,,ఇంకా ముందుకు పోలేక అరవాయిగొన్నాడు, పని చెయ్యడానికి ముందు అరవాయిగొంటాడు
అరిగొను-అరిపడు,"అడ్డపడు,అడ్డముతగులు",,,1,,,,2,,water పోకుండా చెత్త అరిగొనింది,వాడు పని  చేసుకోకుండా వీడు అరిపడ్డాడు
అరుగుదెంచు-అరుదెంచు,"వచ్చు 2.అరుగు,వెళ్ళు",,,1,1,,,,,చుట్టాలు అరుగుదెంచారు,
అరుదుపడు,ఆశ్చర్యపడు,,,,,,,,1,హఠాత్పరిణామానికి అరుదుపడ్డాను,
అరచు-ఆర్చు,"ధ్వనిచేయు;కేకవేయు,బొబ్బపెట్టు 2.మొరపెట్టు 3.విలపించు,ఏడ్చు",,,,1,,,,,మూవీ అంతా ఒకటే అరచారు,
అరిమికొను,అరిమిరోగము కలదియగు,,,,,,,,1,వారు అరిమి కొన్నారు,
అరు-ఆరు,"నశించు,క్షీణించు",,,1,,,,2,,పంట అంతా చీడపురుగుల వల్ల ఆరింది,ఒకరి ఉన్నతిని ఇంకొకరు అరుకున్నారు
అరుక్రమ్ము,చుట్టును క్రమ్ము;క్రమ్ము,,,1,,,,,2,కారుమబ్బులు అరుక్రమ్మాయి,చీకట్లు అరుక్రమ్మాయి
అరుగు(వు),"క్షీణించు,తరుగు,కృశించు 2.జీర్ణమగు",,,1,,,,2,,తిన్న అన్నం అరిగి పోయింది,pencil అరిగింది
అరుగుపడు,"క్షీణించు,చెడు",,,1,,,,2,,తిన్న అన్నం అరుగు పడింది,pencil అరుగు పడింది
అరువు,"ఇనుము,లొంగు,అడగు 2.దక్కు",,,,,1,,,,తాతల ఆస్థి వారికి అరువింది,
అరుము(ర్ము),"ప్రతిఘటించు,మార్కొను 2.సాహసించు, తెగించు 3.విజ్రుంభించు,అతిశయించు",,,,1,,,,,దొంగను అరుమారు,
అర్రాడు,"సమీపమున దిరుగు;ఇటునటుతిరుగు,చుట్టుచుట్టు తిరుగు 3.ఊగులాడు,ఆందోళన మొందు 3.తమకించు,తహతహపడు",,,2,1,,,,,తినడానికై అర్రాడుతున్నాడు,చేసేందుకు పనిలేక అర్రాడుతున్నాడు
అలంకరించు,అలంకారములు పెట్టు,,,,1,,,,,ఇల్లంతా చక్కగా అలంకరించారు,
అలజడిపడు,అలజడినొందు,,,1,,,2,,,వినకూడనివి వింటే మనసు అలజడి పడుతుంది,అనారోగ్యం గురించి తెలిసి అలజడిపడ్డారు
అలమటించు,"దుహ్ఖించు,ఏడ్చు 2.విచారించు,అరయు,పరిశీలించు",,,,1,,2,,,నానమ్మ మరణ వార్త విని అలమటించారు,ఆకలితో అలమటించారు
అలమరు,"శ్రమపడు,బాధపడు 2.విలపించు,ఏడ్చు",,,,1,,2,,,నానమ్మ మరణ వార్త విని అలమరారు,ఆకలి బాధకు అలమరారు
అలము,"వ్యాపించు,ప్రసరించు ",,,2,,,,,1,మనసంతా సంతోషం తో అలముకుంది,చుట్టూ మబ్బులు అలమాయి
అలముకొను,"ప్రసరించు,వ్యాపించు",,,1,,,,,2,తీగ భూమి అంతా అలముకుంది,సూర్యరశ్మి భూమి అంతట అలముకుంది
అలయు,"శ్రమపడు,డయ్యు,ఆయాసపాడు 2.విసుగు, వేసారు 3.తడయు,విలంబముచేయు 4.చింతిల్లు,వగచు",,,,1,2,,,,కష్టజీవి ఎక్కువగా అలయుతాడు,సుకుమారులు కొద్దిపనికే అలయుతారు
అలరారు,"పుష్పించు 2.వికాసమునొందు;సంతోషించు 3.ఒప్పు,శోభిల్లు 4.కలుగు",,,,,2,,,1,చెట్టు పువ్వులతో అలరారుతుంది,వారెప్పుడు సంతోషం తో అలరారుతారు
అలరు,"(పుష్పము)విరియు,విచ్చు 2.పూచు,పుష్పించు 3.వికాసమును పొందు,శోభాయుక్తమగు 4.సంతోషించు,ఆనందించు 5.ఒప్పు 6.కలుగు,ఉదయించు",,,1,,2,,,,మొగ్గలన్నీ అలరాయి,వారికి జ్ఞానోదయం అలరింది
అలవడు(అలవు+పడు),"అభ్యస్తమగు,అబ్బు 2.పరిచితమగు,చనువు కలిగియుండు 3.కలుగు,లభించు 4.శక్యమగు,సాధ్యమగు 5.సిద్ధించు,నెరవేరు 6.తగు,అర్హమగు 7.కూడు,చేరు,కలియు 8.ఒప్పు 9.ఉండు 10.స్వాధీనమగు,వశమగు",,,,,1,,,,మంచి బుద్ధులు అలవడ్డాయి,
అలుగులువారు,అలుగులనుండి ప్రవహించు నీరు వలె-ప్రవహించు,,,1,,,,,,చెరువు అలుగులువారింది,నదీజలాలు అలుగులు వారాయి
అలుగులువెడలు,అధికమగు,,,,,,,1,1,వారింట్లో డబ్బులు అలుగులు వెడలాయి,
అలుగు(ల్గు)-అలువు,"కోపపడు 2.ద్వేషించు,పగగొను 3.హానిచేయు",,,,,1,,,,వారు ప్రతీదానికి అలుగుతారు,
అలుగులపడు(అలుగులము+పడు),"వ్యాకులతనొందు,సంక్షోభము నొందు",,,2,,,1,,,అతని మనస్సు అలుగులపడింది,నోట్లరద్దుతో జనాలందరూ అలుగులపడ్డారు
అలువు-అలుగు,కోపించు,,,,1,,1,,,నోట్లరద్దు వల్ల ప్రభుత్వంమీద అలుగారు,
"అల్లాడు-అల్లలనాడు,అల్లలాడు,అల్లల్లాడు","చలించు,వడకు 2.భయాదులచే క్షోభపడు 3.తిరుగు",,,,1,,2,,,అంటువ్యాధుల భయంతో అల్లాడారు,పిల్లవాడు ఆకలితో అల్లాడాడు
అల్లిబిల్లిగొను,కలసిమెలసియుండు 2.పెనగొను,,,,,1,,,2,అన్నదమ్ములిద్దరూ అల్లిబిల్లిగొని వుంటారు,రెండు తీగలు అల్లిబిల్లిగొన్నాయి
అల్లు,"అల్లుకొను,పెనగొను",,,,1,,,,,జడ మంచిగా అల్లారు,
అల్లుకొను,"పెనగొను 2.వ్యాపించు,ప్రసరించు",,,,,,,,1,వెన్నెల అంతటా అల్లుకొన్నది,lawn అంతా మంచిగా అల్లుకుంది
అళుకు,అలుకు,,,,1,,,,,మట్టితో ఇల్లు అలికారు,
అవఘలించు,"సరియగు,తుల్యమగు 2.వ్యాపించు,ప్రసరించు",,,,,1,,,2,వారిద్దరూ స్థాయిలో అవఘలిస్తారు,సుగుణాలలో వారిద్దరూ అవఘలిస్తారు
అవమానపడు,అవమానము నొందు,,,,,,1,,2,job రాకపోవడంవల్ల అవమానపడుతున్నాడు,వారి మాటలకు అవమానపడుతున్నాడు
అవియబడు,(స్వార్థమున'పడు') బ్రద్దలగు,,,,1,,2,,,తన పట్టుదల నెగ్గించుకోవడానికిఅవియబడింది,స్వార్థంతో అవియబడింది
అవియబారు,(స్వార్థమున'పారు') పగులు,,,,1,,2,,,పట్టుదల నెగ్గించుకోవడానికిఅవియబారింది,కోపంతో అవియబారింది
