"VERB, ADVERB",To Know : 3,To Move : 4,To Do : 5 ,To Have : 6,To Be : 7,To Cut : 8 ,To Bound : 9
"('చూడటానికి', 'మరియు')",,,1,,,,
"('కనిపిస్తాయి', 'అలా')",,,,1,,,
"('పడింది', 'మళ్లీ')",,1,,,,,
"('వాడుకోవడం', 'ఖాయంగా')",,,1,,,,
"('నమ్మి', 'తక్కువ')",,,,1,,,
"('తీసుకుని', 'ఇప్పుడు')",,,1,,,,
"('పోషించింది', 'రచయితగా')",1,,,,,,
"('ఉంది', 'ముందు')",,1,,,,,
"('కని', 'సంతోషంగా')",,,,1,,,
"('నిలుస్తుంది', 'చివరగా')",,1,,,,,
"('చేయడమే', 'లక్ష్యంగా')",,,1,,,,
"('రాయడం', 'చాలా')",,,1,,,,
"('లేదు', 'దర్శకుడిగా')",,,,,,1,
"('అనేది', 'పూర్తి')",,,,,,1,
"('అన్నది', 'వెంటనే')",,,1,,,,
"('చూపించారు', 'ముఖ్యంగా')",,,1,,,,
"('ఉంటూ', 'సహాయం')",,,,1,,,
"('ముగించడానికి', 'కూడా')",,1,,,,,
"('ఎదుర్కొంటుంది', 'మరియు')",,,1,,,,
"('పడతాయి', 'చివరగా')",,,,,,1,
"('పండకపోవడం', 'కూడా')",,1,,,,,
"('లేకపోయినా', 'ఆహ్లాదకరంగా')",,,,,,,1
"('ఫర్వాలేదనిపించారు', 'అలానే')",,,,,,,1
"('విడిపోవడం', 'మళ్లీ')",,1,,,,,
"('కామెడీని', 'మళ్లీ')",,,1,,,,
"('వచ్చి', 'చాలా')",,,,,1,,
"('వేశాడు', 'చాలా')",,,1,,,,
"('పెంచుకుంటాడు', 'మళ్లీ')",,1,,,,,
"('చేశాడు', 'మొత్తంగా')",,,1,,,,
"('తెలియజేస్తుంది', 'సాధారణంగా')",1,,,,,,
"('పనిచేయడం', 'లేదు')",,,,,,1,
"('అయితే', 'తక్కువ')",,,,,1,,
"('వాడటం', 'చాలా')",,,1,,,,
"('లేవు', 'తక్కువ')",1,,,,,,
"('అయిపోతుంది', 'ఇంతలో')",,,,,,,1
"('కాదు', 'కాబట్టి')",1,,,,,,
"('అన్నది', 'మామూలుగా')",,,1,,,,
"('నిలబడి', 'బిగ్గరగా')",,,1,,,,
"('వ్రాసారు', 'మరియు')",,,1,,,,
"('బయటపెట్టకుండా', 'మళ్లీ')",,1,,,,,
"('రాదు', 'చాలా')",1,,,,,,
"('కోసమో', 'ఎక్కడా')",,,,,1,,
"('వెళుతుంది', 'మరియు')",,,1,,,,
"('పడి', 'కొంత')",,,,1,,,
"('అనిపించింది', 'మరియు')",1,,,,,,
"('అబ్బాయి', 'లాగా')",,,,1,,,
"('ప్రేమిస్తాడు', 'కూడా')",,,,1,,,2
"('చేసిందీ', 'లేదు')",1,,,,,,
"('పెంచడం', 'కంటే')",,,,,1,,
"('అనుకున్నంత', 'సమర్థంగా')",,1,,,,,
"('ఉన్నంతలో', 'సంతోషంగా')",,,,,1,,
"('తీసుకుంటుంది', 'మరియు')",,,1,,,,
"('ఆశించిన', 'విధంగా')",,1,,,,,
"('భరించలేక', 'మధ్యలో')",,,,1,,,
"('కలిగిస్తాయి', 'పూర్తిగా')",1,,,,,,
"('తేలిపోయాడు', 'చివరిగా')",,1,,,,,
"('ఉంది', 'ముందుగానే')",,,,,1,,
"('జరిగే', 'మేలు')",,,,,,,1
"('వచ్చాక', 'కూడా')",,1,,,,,
"('తెలుసుకుని', 'తర్వాత')",1,,,,,,
"('చెప్పాడు', 'అప్పుడు')",,,1,,,,
"('పెట్టారు', 'కాబట్టి')",,,1,,,,
"('ఏముంటుంది', 'ఎప్పుడు')",,,,,,1,
"('కావు', 'కాబట్టి')",,,,,,1,
"('వస్తుంది', 'ముందు')",,1,,,,,
"('అనిపిస్తుంది', 'ఎప్పుడూ')",,,,,1,,
"('ఉన్నాడు', 'కాబట్టి')",,,,,1,,
"('ఆకట్టుకుంటుంది', 'నేరుగా')",,,,,,,1
"('అర్థమైపోతుంది', 'కాబట్టి')",1,,,,,,
"('వుంది', 'అలాగే')",,,,,1,,
"('జరగలేదు', 'చివరగా')",,1,,,,,
"('కొడితే', 'ఎక్కడో')",,,1,,,,
"('ఉన్నంతలో', 'చాలా')",,,,1,,,
"('చేసి', 'ఆదర్శంగా')",,,1,,,,
"('అనుష్క', 'పూర్తిగా')",,,,,,1,
"('దించుతాడు', 'తర్వాత')",,1,,,,,
"('ప్రయత్నమైతే', 'బాగానే')",,,1,,,,
"('అచ్చు', 'ఇంత')",1,,,,,,
"('అయితే', 'పూర్తి')",,1,,,,,
"('కలసిన', 'కారణంగానే')",,,,,,,1
"('అవ్వడానికి', 'కొంచెం')",,,,,,1,
"('తట్టుకోలేక', 'సొంతంగా')",,,,,1,,
"('లెంగ్త్', 'బాగా')",1,,,,,,
"('అడ్వాంటేజ్', 'పూర్తిగా')",1,,,,,,
"('అనేది', 'లేకుండా')",,,,,1,,
"('ఉన్నా', 'కొంచెం')",,,,,,,
"('అనిపిస్తుంది', 'మధ్యలో')",,1,,,,,
"('వెళ్లింది', 'సరిగ్గా')",1,,,,,,
"('నడపడానికి', 'చాలా')",,,1,,,,
"('కనిపించలేదు', 'చివరగా')",,,,,,,1
"('పాయింట్లున్నాయి', 'అలాగే')",,,,,,1,
"('సృష్టించడం', 'కూడా')",1,,,,,,
"('చదవడానికి', 'ముందు')",,1,,,,,
"('మొదలవుతుంది', 'మధ్యలో')",,1,,,,,
"('చదవండి', 'మరియు')",,,1,,,,
"('చేయగానే', 'న్యాయవాది')",,,1,,,,
"('అంటాడు', 'ముందు')",,1,,,,,
"('కాకపోవడం', 'ఎక్కడా')",,,,,,1,
"('పెట్టే', 'ముందు')",,1,,,,,
"('వారు', 'ఒకరికొకరు')",1,,,,,,
"('తెలియగానే', 'వెంటనే')",,1,,,,,
"('మారతాడు', 'ఎక్కడ')",,,,,1,,
"('ఉంది', 'కొద్దిగా')",,,,1,,,
"('చెబుతాడు', 'అలాగే')",1,,,,,,
"('బాగుంది', 'నిజంగా')",,,,,,,1
"('వినడానికి', 'కూడా')",,,,1,,,
"('బాగోలేదు', 'మరియు')",,,,,,1,
"('చూస్తే', 'ఉత్తమంగా')",1,,,,,,
"('తెలుసుకోవడం', 'కంటే')",1,,,,,,
"('చేయించి', 'సాంకేతికంగా')",,,1,,,,
"('ఆలోచిస్తాడు', 'చివరగా')",,1,,,,,
"('తిరగేస్తే', 'కచ్చితంగా')",,1,,,,,
"('పెరిగింది', 'కొంచెం')",,1,,,,,
"('చేశాడు', 'చాలా')",,,1,,,,
"('పరుస్తుంది', 'మామూలుగా')",,,1,,,,
"('చేశాడు', 'నటుడిగా')",,,,1,,,
"('ఉంటుందో', 'ముందుగానే')",1,,,,,,
"('సాగుతాయి', 'ముఖ్యంగా')",,1,,,,,
"('పాట', 'ఎనర్జిటిక్గా')",,,1,,,,
"('చూడడం', 'చాలా')",,,,,1,,
"('నటించింది', 'చివరిగా')",,,1,,,,
"('దర్శకుడు', 'సరిగ్గా')",,,1,,,,
"('చూస్తే', 'నిజంగా')",,,,,,,
"('ఉంచుకుని', 'మరియు')",,,,,,1,
"('గడిపేస్తుంటాడు', 'ఎప్పుడూ')",,,,1,,,
"('ఎగ్జాంపుల్', 'చివరగా')",1,,,,,,
"('తగ్గట్లుగా', 'గొప్పగా')",,,,,,,1
"('అనిరుధ్', 'కూడా')",,,,,,1,
"('వచ్చినట్టు', 'లేదు')",1,,,,,,
"('లేదు', 'కాబట్టి')",,1,,,,,
"('దిగుతారు', 'అక్కడ')",,,1,,,,
"('అందుకోలేకపోయాడు', 'దర్శకుడిగా')",,,,,1,,
"('లేదు', 'ఇక్కడ')",,,,,1,,
"('చెలరేగిపోయాడు', 'నటుడిగా')",,,1,,,,
"('ఊహించే', 'విధంగా')",1,,,,,,
"('లేకపోవడం', 'ఇబ్బందిగా')",,,,,,,1
"('చేయడం', 'చాలా')",,,1,,,,
"('చెప్పాలని', 'కూడా')",1,,,,,,
"('చూపించారు', 'చాలా')",,,1,,,,
"('ఉంటుంది', 'ఎక్కడా')",,,,,1,,
"('అయిన', 'దగ్గర')",,1,,,,,
"('చేసినపుడు', 'కొంచెం')",,,1,,,,
"('అనిపించదు', 'సిల్లీగా')",1,,,,,,
"('ఉంటాడు', 'ఈలోగా')",,,,,1,,
"('నిలిచాయి', 'చాలా')",1,,,,,,
"('వున్నా', 'చూడటానికి')",1,,,,,,
"('ఉంటే', 'సరదాగా')",,,,,,,1
"('చేయడం', 'పెద్దగా')",,,1,,,,
"('తెచ్చాడు', 'మరియు')",,,1,,,,
"('కావడానికి', 'కొంచెం')",,,,,,1,
"('తిరిగి', 'వస్తుండగా')",1,,,,,,
"('పూరి', 'నిజంగానే')",,,,1,,,
"('సినిమానే', 'మామూలుగా')",1,,,,,,
"('కలుగుతుంది', 'దాదాపుగా')",,,,,,1,
"('పోరాడే', 'తనయుడిగా')",,,,1,,,
"('చేయని', 'విధంగా')",,,1,,,,
"('ప్రేయసి', 'దగ్గర')",1,,,,,,
"('ఉండాల్సింది', 'చివరగా')",,1,,,,,
"('పంపిస్తాడు', 'కింద')",,,1,,,,
"('కాదు', 'మామూలుగా')",,,,,,1,
"('అందించడం', 'లేదు')",,,1,,,,
"('సాగడం', 'కూడా')",,1,,,,,
"('తెలిసిపోతుంది', 'అలా')",1,,,,,,
"('అయిపోయినా', 'మళ్లీ')",,1,,,,,
"('వచ్చేసరికి', 'కొంచెం')",,,,,1,,
"('అదరగొట్టేశాడు', 'మొత్తంగా')",,,,,1,,
"('చేయడానికి', 'వాస్తవంగా')",,,1,,,,
"('లేదు', 'అయినప్పటికి')",1,,,,,,
"('కనిపించడానికి', 'బాగా')",,,1,,,,
"('చూడడం', 'కూడా')",,,1,,,,
"('కావాలి', 'కాబట్టి')",1,,,,,,
"('ఉంటుంది', 'లైవ్లీగా')",,,,,1,,
"('ప్రయత్నించాడు', 'అలాగని')",,,1,,,,
"('ఉండాల్సింది', 'అక్కడ')",,1,,,,,
"('తీరే', 'అంతగా')",,,,1,,,
"('సాగిపోతుంది', 'మధ్యలో')",,1,,,,,
"('వినడానికి', 'చూడటానికి')",1,,,,,,
"('ఆడియన్స్', 'ఎక్కువగా')",,,,,1,,
"('మరియు', 'వెనుక')",,1,,,,,
"('చనిపోతారు', 'ఇంతలో')",,,,,,1,
"('చెప్పబోతున్నాను', 'తక్కువ')",1,,,,,,
"('చేయండి', 'మరియు')",,,1,,,,
"('కలిగించడం', 'మరియు')",,,,1,,,
"('చదవడం', 'కూడా')",1,,,,,,
"('వచ్చేసింది', 'కాబట్టి')",,1,,,,,
"('అంతేకాదు', 'అక్కడే')",,,,,1,,
"('పాజిటివ్', 'గా')",1,,,,,,
"('సంబంధించి', 'వాస్తవంగా')",1,,,,,,
"('కామెడీ', 'లేదు')",1,,,,,,
"('చూడొచ్చు', 'చాలా')",,,1,,,,
"('దర్శకుడు', 'అట్లీ')",1,,,,,,
"('నటించాడు', 'ముఖ్యంగా')",,,1,,,,
"('అందిస్తుంది', 'మరియు')",,,,,,1,
"('గుర్తించిన', 'తర్వాత')",,,,1,,,
"('అనుకున్న', 'వెంటనే')",1,,,,,,
"('చేసిన', 'అట్లీ')",,,1,,,,
"('అనేది', 'ప్రధానంగా')",1,,,,,,
"('కట్టించారు', 'ముఖ్యంగా')",,,1,,,,
"('మరియు', 'సులభంగా')",1,,,,,,
"('నటించాడు', 'విలన్గా')",,,1,,,,
"('అన్నాడు', 'అలాగే')",,1,,,,,
"('తీసుకుంటే', 'కొంత')",,,,,,1,
"('ఆధారపడి', 'దర్శకుడిగా')",1,,,,,,
"('నాకు', 'సహాయం')",,,,1,,,
"('మార్చడంలో', 'కూడా')",,1,,,,,
"('అనిపించి', 'తర్వాత')",,1,,,,,
"('లేకపోవడం', 'చాలా')",,,,,1,,
"('ప్రేమిస్తాడు', 'ముందు')",1,,,2,,,
"('వచ్చేసరికి', 'చాలా')",,1,,,,,
"('ఉండకపోతే', 'చాలా')",,,,,1,,
"('దువ్వాసి', 'కూడా')",1,,,,,,
"('తీసిపోకుండా', 'అద్భుతంగా')",,,,,,,1
"('బాగుంది', 'ఎక్కడా')",1,,,,,,
"('లేకపోయింది', 'దర్శకుడిగా')",,,,,1,,
"('పాత్రకు', 'జోడీగా')",,,,1,,,
"('వెళ్లాక', 'కొంచెం')",,1,,,,,
"('బాగుంది', 'ఎప్పుడూ')",1,,,,,,
"('అయితే', 'బాగానే')",1,,,,,,
"('గెలుచుకున్న', 'తర్వాత')",,1,,,,,
"('అనిపించదు', 'ముందు')",,1,,,,,
"('కనిపించదు', 'మధ్యలో')",,1,,,,,
"('ఉంది', 'వెనుక')",,1,,,,,
"('మారిస్తే', 'ఇక్కడ')",,1,,,,,
"('మునిగి', 'మరియు')",,1,,,,,
"('కాకపోయినా', 'కొంత')",,,,,,1,
"('కెమెరా', 'సులభంగా')",1,,,,,,
"('తెరపై', 'చాలా')",,,,,1,,
"('పోలిస్తే', 'సరిగ్గా')",,,1,,,,
"('మరియు', 'దాదాపుగా')",1,,,,,,
"('కామెడీ', 'బాగా')",,,,1,,,
"('వెళ్లి', 'చూడటానికి')",,1,,,,,
"('లేకపోవడంతో', 'ఇప్పుడు')",,1,,,,,
"('తెలిసినా', 'కూడా')",1,,,,,,
"('పనిచేసింది', 'సాధారణంగా')",,,1,,,,
"('ఫిర్యాదు', 'లేదు')",,,,1,,,
"('చెప్పడం', 'లేదు')",,,,,1,,
"('ఉంది', 'సాధారణంగా')",,,,,1,,
"('రక్షిస్తాడు', 'అలా')",,,1,,,,
"('బాగున్నాయి', 'మొత్తంగా')",,,,,,1,
"('చేసుకోవడం', 'మధ్యలో')",,1,,,,,
"('వింటుంటే', 'ఆసక్తికరంగానే')",1,,,,,,
"('పాట', 'కూడా')",1,,,,,,
"('వచ్చేస్తారు', 'కాబట్టి')",,1,,,,,
"('వింటే', 'అప్పుడు')",,,,,1,,
"('కాదు', 'మరియు')",1,,,,,,
"('చేస్తాయి', 'ఇలా')",,,1,,,,
"('కెమెరా', 'చక్కగా')",,,,,1,,
"('చూపించలేదు', 'కొంచెం')",,,,,,1,
"('పడటం', 'కొంత')",,,,,,1,
"('కలిగిస్తుందో', 'మరియు')",1,,,,,,
"('పెట్టాడు', 'అసహజంగా')",,,1,,,,
"('పెంచుతున్నట్టు', 'కూడా')",,,,1,,,
"('మరియు', 'అర్థరహితంగా')",1,,,,,,
"('పాతికమంది', 'తీవ్రంగా')",1,,,,,,
"('కొట్టించకుండా', 'సరదాగా')",,,,1,,,
"('చిరంజీవి', 'కథానాయకుడిగా')",,,,,1,,
"('ఉంటే', 'వైవిధ్యంగా')",,,,,,,1
"('తెరకెక్కించారు', 'మొత్తంగా')",1,,,,,2,
"('ఇవ్వడం', 'చాలా')",1,,,,,,
"('గడిచాక', 'నెమ్మదిగా')",,1,,,,,
"('పడతాయి', 'మామూలుగా')",,,1,,,,
"('మరియు', 'అద్భుతంగా')",1,,,,,,2
"('తగ్గట్లుగా', 'చక్కగా')",1,,,,,,
"('సాగుతుంది', 'మధ్యలో')",,1,,,,,
"('ఎంచుకుంటూ', 'హీరోగా')",,,,1,,,
"('నచ్చినట్లు', 'జీవితం')",1,,,,,,
"('ఉన్నాయి', 'ఎక్కడా')",,,,,1,,
"('ఉన్నా', 'సరిగా')",,,,,1,,
"('నమ్మడం', 'ఇలా')",1,,,,,,
"('జోడించి', 'హృద్యంగా')",,1,,,,,
"('ఆకట్టుకునేలా', 'లేదు')",,,,1,,,
"('అందించాడు', 'ప్రధానంగా')",,,1,,,,
"('చూపించాడు', 'చివరగా')",,,1,,,,
"('చేసుకుని', 'మళ్లీ')",,,,,,,
"('ఎంచుకున్న', 'జీవితం')",,,1,,,,
"('రాజు', 'ముందు')",,,,1,,,
"('వ్యవహరించడం', 'ప్రధానంగా')",1,,,,,,
"('చదువు', 'పూర్తి')",,1,,,,,
"('ఇవ్వకుండా', 'చకచకా')",,,1,,,,
"('తెచ్చాడు', 'చివరగా')",,,1,,,,
"('ఫిర్యాదు', 'తర్వాత')",,1,,,,,
"('చేయవచ్చు', 'చాలా')",,,1,,,,
"('చేస్తూ', 'సమర్పకుడిగా')",,,,,1,,
"('ఇస్తుంది', 'మరియు')",,,1,,,,
"('చేయడం', 'సులభంగా')",,,1,,,,
"('మాతృక', 'కంటే')",1,,,,,,
"('అర్ధమయ్యేలా', 'లేదు')",1,,,,,,
"('పెట్టాడు', 'చివరగా')",,,1,,,,
"('మార్పు', 'కారణంగా')",,1,,,,,
"('చంపాలని', 'చాలా')",,,1,,,,
"('లేకపోయినా', 'కొంచెం')",,,,1,,,
"('ఉన్నాయి', 'ముందు')",,1,,,,,
"('కలిగిస్తుంది', 'ముందు')",,1,,,,,
"('వచ్చేసరికి', 'అసహజంగా')",,,,,1,,
"('అవ్వడానికి', 'చాలా')",,,1,,,,
"('కట్టబెట్టారు', 'కచ్చితంగా')",,,,,,,1
"('అయింది', 'పెద్దగా')",,,1,,,,
"('పాత్రకు', 'చాలా')",1,,,,,,
"('నడిపించకుండా', 'మధ్యలో')",,1,,,,,
"('సరిపోతుంది', 'చివరిగా')",,1,,,,,
"('చేసేశారు', 'కాబట్టి')",,,1,,,,
"('రాబట్టుకోవడం', 'ముఖ్యంగా')",,,,,1,,
"('ఇవ్వడం', 'మళ్లీ')",,,,1,,,
"('కాన్సెప్ట్', 'ఆధారంగా')",1,,,,,,
"('ఇమిడిపోయారు', 'ముఖ్యంగా')",,,1,,,,
"('ఉంటాయి', 'కాబట్టి')",,,,1,,,
"('చనిపోవడానికి', 'ముందు')",,1,,,,,
"('పొందడం', 'నిజంగా')",,,,,1,,
"('తీరు', 'కన్విన్సింగ్గా')",,,,,1,,
"('తపనపడే', 'ఆవారాగా')",,,,,,,1
"('చేస్తున్నాను', 'మరియు')",,,1,,,,
"('కనిపించింది', 'నిజమైన')",,,,1,,,
"('రావు', 'నిజంగా')",1,,,,,,
"('వచ్చేవరకు', 'ఎదురు')",,1,,,,,
"('చెప్పండి', 'ముఖ్యంగా')",1,,,,,,
"('నాకు', 'ఎల్లప్పుడు')",,,,,1,,
"('వస్తున్నాయి', 'మరియు')",,,,1,,,
"('ఉంది', 'మధ్యలో')",,1,,,,,
"('సినిమానే', 'మళ్లీ')",,,1,,,,
"('ఉమాదేవి', 'ఆత్మగా')",,,,1,,,
"('చెప్పలేకపోయారు', 'చాలా')",,,1,,,,
"('పడే', 'తండ్రిగా')",,,,,,1,
"('తెరకెక్కిన', 'సినిమాగా')",,,,,,,1
"('చూడ్డానికి', 'కొంచెం')",1,,,,,,
"('కెమెరా', 'తక్కువగా')",,,,,1,,
"('మినహాయిస్తే', 'కొత్తగా')",,,1,,,,
"('ఉంటుందని', 'కూడా')",,,,,,,
"('పాట', 'వినసొంపుగా')",1,,,,,,
"('నియమిస్తుంది', 'ఈలోగా')",,1,,,,,
"('మార్పు', 'లేదు')",,1,,,,,
"('వినోదాన్ని', 'కూడా')",1,,,,,,
"('కాలేదు', 'దర్శకుడిగా')",,,,,1,,
"('నడిపించాడు', 'రొటీన్గా')",,,1,,,,
"('వేయొచ్చు', 'చివరగా')",,1,,,,,
"('మరియు', 'అప్పుడు')",,1,,,,,
"('నడపడం', 'బాగానే')",,,,1,,,
"('సాగదీసి', 'చాలా')",,1,,,,,
"('చేసి', 'హీరోగా')",,,1,,,,
"('చిరంజీవి', 'చివరగా')",,,,1,,,
"('చూపించడంతో', 'మరింతగా')",1,,,,,,
"('కాదు', 'కొంచెం')",1,,,,,,
"('వదిలేశాడు', 'చివరగా')",,1,,,,,
"('కెమెరా', 'కూడా')",1,,,,,,
"('ఏంటంటే', 'ఇక్కడ')",,,,,1,,
"('చేయడం', 'సిల్లీగా')",,,1,,,,
"('వెళ్లినపుడు', 'కూడా')",,,1,,,,
"('రావిపూడి', 'దర్శకుడిగా')",1,,,,2,,
"('బిగి', 'లేదు')",1,,,,,,
"('అర్థమవుతుంది', 'సాధారణంగానే')",1,,,,,,
"('పెట్టడం', 'మధ్యలో')",,,,,,1,
"('అన్నది', 'ఇక్కడ')",,1,,,,,
"('సాగినా', 'అంతిమంగా')",,1,,,,,
"('కలగలిపి', 'అలా')",,,1,,,,
"('ఇవ్వడం', 'లేదు')",,,1,,,,
"('అనిపించేలా', 'అద్భుతంగా')",1,,,,,,
"('చెయ్యదు', 'దయచేసి')",,,,,,,1
"('మారిపోవడం', 'అసహజంగా')",,,,,,,1
"('సాధ్యమైనంత', 'త్వరగా')",,1,,,,,
"('అన్నాక', 'ఇబ్బందిగా')",,,1,,,,
"('అంటూ', 'లేకుండా')",,,,,,1,
"('చేస్తాడు', 'చాలా')",,,1,,,,
"('కనిపించదు', 'తక్కువ')",1,,,,,,
"('కామెడీ', 'చాలా')",,,,1,,,
"('తగ్గట్లే', 'బలంగా')",1,,,,,,
"('జరిగిందో', 'ఇట్టే')",,1,,,,,
"('అందని', 'విధంగా')",,,,,,,1
